path	june	july
-/article_list_home.js	714	714
-/content.parsoid.css	5375	5375
-/favicon	4496	4496
-/images_loaded.min.js	6398	6398
-/inserted_style.css	111686	111686
-/masonry.min.js	24103	24103
-/mobile_main_page.css	3454	3454
-/mw///ab.wikipedia.org/api/rest_v1/data/css/mobile/site.css		12990
-/mw///meta.wikimedia.org/api/rest_v1/data/css/mobile/base.css		20691
-/mw///meta.wikimedia.org/api/rest_v1/data/css/mobile/pcs.css		51791
-/mw///meta.wikimedia.org/api/rest_v1/data/javascript/mobile/pcs.js		63573
-/mw/ext.cite.styles.css	3147	
-/mw/ext.cite.ux-enhancements.css	878	
-/mw/ext.cite.ux-enhancements.js	6609	
-/mw/ext.gadget.VisibilityToggles.js	67	67
-/mw/ext.gadget.defaultVisibilityToggles.js	74	74
-/mw/ext.imagemap.css	0	
-/mw/ext.imagemap.js	842	
-/mw/ext.imagemap.styles.css	683	
-/mw/ext.inputBox.styles.css	1014	34059
-/mw/ext.kartographer.staticframe.css	0	
-/mw/ext.kartographer.staticframe.js	4216	
-/mw/ext.kartographer.style.css	16441	
-/mw/ext.timeline.styles.css	143	
-/mw/ext.tmh.player.css	0	
-/mw/ext.tmh.player.js	11744	
-/mw/ext.tmh.player.styles.css	4509	
-/mw/jquery,mediawiki.js	285385	285385
-/mw/jquery.cookie.js	52	52
-/mw/jsConfigVars.js	2487	
-/mw/mediawiki.base.js	54021	53574
-/mw/mediawiki.cookie.js	9831	9831
-/mw/mediawiki.page.gallery.js	9503	
-/mw/mediawiki.page.gallery.styles.css	6476	
-/mw/mediawiki.page.media.css	0	
-/mw/mediawiki.page.media.js	1440	
-/mw/mediawiki.page.ready.js	32751	31456
-/mw/mediawiki.storage.js	9808	9748
-/mw/mediawiki.ui.button.css	11629	
-/mw/mediawiki.ui.checkbox.css	3618	
-/mw/mediawiki.ui.input.css	2775	
-/mw/mediawiki.util.js	47702	47416
-/mw/site.js	5694	5694
-/mw/skins.minerva.base.reset|skins.minerva.content.styles|ext.cite.style|site.styles|mobile.app.pagestyles.android|mediawiki.page.gallery.styles|mediawiki.skinning.content.parsoid.css	37864	37244
-/mw/startup.js	162924	163359
-/mw/style.css	169822	196041
-/node_module/details-element-polyfill/dist/details-element-polyfill.js	6953	6953
-/script.js	1900	1900
